unidade_da_federacao,bcg,hepatite_b_idade_<=_30_dias,rotavirus_humano,meningococo_c,hepatite_b,penta,pneumococica,poliomielite,poliomielite_4_anos,febre_amarela,hepatite_a,pneumococica(1º_ref),meningococo_c_(1º_ref),poliomielite(1º_ref),triplice_viral__d1,triplice_viral__d2,tetra_viral(src+vz),dtp,dtp_ref_(4_e_6_anos),triplice_bacte(dtp)(1º_ref),sarampo,haemophilus_influenzae_b,dupla_adulto_e_dtpa_gestante,dtpa_gestante,tetravalente(dtp/hib)(tetra),varicela,ano
Rondônia,"93,85652361",0,0,0,"47,53875133",0,0,"54,16789597",0,"8,290402378",0,0,0,0,0,0,0,"62,68297665",0,0,"75,57361051",0,0,0,0,0,1994
Acre,"61,01486046",0,0,0,"11,20695904",0,0,"24,31315694",0,0,0,0,0,0,0,0,0,"30,6632838",0,0,"37,04965567",0,0,0,0,0,1994
Amazonas,"41,00096246",0,0,0,"27,95831012",0,0,"17,85750469",0,"7,550276075",0,0,0,0,0,0,0,"31,99559293",0,0,"34,80573426",0,0,0,0,0,1994
Roraima,"99,63951936",0,0,0,"10,60080107",0,0,"49,35914553",0,"3,698264352",0,0,0,0,0,0,0,"70,53404539",0,0,"90,29372497",0,0,0,0,0,1994
Pará,"84,17785265",0,0,0,"3,46387405",0,0,"38,36118294",0,"5,361023907",0,0,0,0,0,0,0,"64,6680135",0,0,"63,49355935",0,0,0,0,0,1994
Maranhão,"66,54961858",0,0,0,"0,06667296356",0,0,"34,80662063",0,"33,62373113",0,0,0,0,0,0,0,"39,15814271",0,0,"45,2603857",0,0,0,0,0,1994
Piauí,"99,19802779",0,0,0,0,0,0,"53,33039125",0,"0,006087075617",0,0,0,0,0,0,0,"65,64606699",0,0,"67,64871487",0,0,0,0,0,1994
Ceará,"104,6490317",0,0,0,0,0,0,"94,18079629",0,0,0,0,0,0,0,0,0,"91,04071443",0,0,"103,7204472",0,0,0,0,0,1994
Rio Grande do Norte,"101,7679805",0,0,0,0,0,0,"69,70207209",0,0,0,0,0,0,0,0,0,"78,78767053",0,0,"80,443971",0,0,0,0,0,1994
Pernambuco,"84,37799881",0,0,0,0,0,0,"51,16144461",0,0,0,0,0,0,0,0,0,"58,85211193",0,0,"73,31495331",0,0,0,0,0,1994
Bahia,"109,6261721",0,0,0,0,0,0,"76,52114295",0,0,0,0,0,0,0,0,0,"75,47369077",0,0,"82,61160127",0,0,0,0,0,1994
