uf,nome,partido,ano
AC,GLADSON DE LIMA CAMELI,PP,2022
AL,JOSE RENAN VASCONCELOS CALHEIROS FILHO,MDB,2022
BA,RUI COSTA DOS SANTOS,PT,2022
CE,CAMILO SOBREIRA DE SANTANA,PT,2022
ES,JOSE RENATO CASAGRANDE,PSB,2022
GO,RONALDO RAMOS CAIADO,DEM,2022
MA,FLÁVIO DINO DE CASTRO E COSTA,PC do B,2022
MT,MAURO MENDES FERREIRA,DEM,2022
PB,JOÃO AZEVEDO LINS FILHO,PSB,2022
PE,PAULO HENRIQUE SARAIVA CÂMARA,PSB,2022
PI,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,PT,2022
PR,CARLOS ROBERTO MASSA JUNIOR,PSD,2022
TO,MAURO CARLESSE,PHS,2022
AM,WILSON MIRANDA LIMA,PSC,2022
AP,ANTONIO WALDEZ GÓES DA SILVA,PDT,2022
DF,IBANEIS ROCHA BARROS JUNIOR,MDB,2022
MG,ROMEU ZEMA NETO,NOVO,2022
MS,REINALDO AZAMBUJA SILVA,PSDB,2022
PA,HELDER ZAHLUTH BARBALHO,MDB,2022
RJ,WILSON JOSÉ WITZEL,PSC,2022
RN,MARIA DE FATIMA BEZERRA,PT,2022
RO,MARCOS JOSE ROCHA DOS SANTOS,PSL,2022
RR,ANTONIO OLIVERIO GARCIA DE ALMEIDA,PSL,2022
RS,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,PSDB,2022
SC,CARLOS MOISÉS DA SILVA,PSL,2022
SE,BELIVALDO CHAGAS SILVA,PSD,2022
SP,JOÃO AGRIPINO DA COSTA DORIA JUNIOR,PSDB,2022
AC,GLADSON DE LIMA CAMELI,PP,2021
AL,JOSE RENAN VASCONCELOS CALHEIROS FILHO,MDB,2021
BA,RUI COSTA DOS SANTOS,PT,2021
CE,CAMILO SOBREIRA DE SANTANA,PT,2021
ES,JOSE RENATO CASAGRANDE,PSB,2021
GO,RONALDO RAMOS CAIADO,DEM,2021
MA,FLÁVIO DINO DE CASTRO E COSTA,PC do B,2021
MT,MAURO MENDES FERREIRA,DEM,2021
PB,JOÃO AZEVEDO LINS FILHO,PSB,2021
PE,PAULO HENRIQUE SARAIVA CÂMARA,PSB,2021
PI,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,PT,2021
PR,CARLOS ROBERTO MASSA JUNIOR,PSD,2021
TO,MAURO CARLESSE,PHS,2021
AM,WILSON MIRANDA LIMA,PSC,2021
AP,ANTONIO WALDEZ GÓES DA SILVA,PDT,2021
DF,IBANEIS ROCHA BARROS JUNIOR,MDB,2021
MG,ROMEU ZEMA NETO,NOVO,2021
MS,REINALDO AZAMBUJA SILVA,PSDB,2021
PA,HELDER ZAHLUTH BARBALHO,MDB,2021
RJ,WILSON JOSÉ WITZEL,PSC,2021
RN,MARIA DE FATIMA BEZERRA,PT,2021
RO,MARCOS JOSE ROCHA DOS SANTOS,PSL,2021
RR,ANTONIO OLIVERIO GARCIA DE ALMEIDA,PSL,2021
RS,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,PSDB,2021
SC,CARLOS MOISÉS DA SILVA,PSL,2021
SE,BELIVALDO CHAGAS SILVA,PSD,2021
